State,Prevalence of Mental Illness
Alabama,1660935.9
Alaska,1767354.7
Arizona,1799871.5
Arkansas,1737910.3
California,1597475.5
Colorado,1733491.0
Connecticut,1680839.4
Delaware,1740958.5
District of Columbia,1723432.7
Florida,1659272.3
Georgia,1597750.3
Hawaii,1605128.8
Idaho,1736761.8
Illinois,1587535.7
Indiana,1698578.0
Iowa,1569272.5
Kansas,1625737.1
Kentucky,1787568.9
Louisiana,1674501.7
Maine,1727602.4
Maryland,1615887.2
Massachusetts,1698688.9
Michigan,1702574.6
Minnesota,1578455.1
Mississippi,1657191.1
Missouri,1673690.2
Montana,1773707.1
Nebraska,1553894.6
Nevada,1764237.7
New Hampshire,1757031.7
New Jersey,1589181.2
New Mexico,1841779.4
New York,1649722.7
North Carolina,1605966.9
North Dakota,1546276.0
Ohio,1731831.0
Oklahoma,1764593.9
Oregon,1705899.1
Pennsylvania,1694410.8
Rhode Island,1835626.5
South Carolina,1722252.8
South Dakota,1540322.5
Tennessee,1760581.8
Texas,1551578.9
Utah,1774482.8
Vermont,1691432.2
Virginia,1622684.6
Washington,1719890.2
West Virginia,1902669.7
Wisconsin,1709160.6
Wyoming,1713907.7
