,State,Suicide rate,Prevalence,% Uninsured,YLL,DALY
0,AK,200,1767354.7,14.9,35573.3,98664.7
1,AL,836,1660935.9,19.3,202536.9,589755.8
2,AR,631,1737910.3,18.1,81269.8,325822.3
3,AZ,"1,327",1799871.5,15.9,249389.4,852195.8
4,CA,"4,312",1597475.5,13.3,878335.4,3741299.1
5,CO,"1,181",1733491.0,8.7,159679.8,587855.6
6,CT,405,1680839.4,9.3,110526.3,404694.7
7,DE,112,1723432.7,11.1,18866.0,73975.4
8,FL,"3,227",1659272.3,4.9,692897.1,2271085.0
9,GA,"1,451",1597750.3,21.0,299419.7,1080402.4
10,HI,227,1605128.8,19.2,23042.4,125495.9
11,IA,479,1569272.5,16.1,56814.2,266206.3
12,ID,392,1736761.8,5.3,42746.8,179473.9
13,IL,"1,474",1587535.7,19.3,334113.8,1276507.1
14,IN,"1,092",1698578.0,13.9,238126.5,775218.0
15,KS,553,1625737.1,9.3,71569.3,284325.2
16,KY,770,1787568.9,18.5,272945.2,685360.0
17,LA,720,1674501.7,8.1,187594.7,554873.8
18,MA,682,1698688.9,11.3,244567.4,804230.4
19,MD,630,1615887.2,13.3,90056.9,532118.0
20,ME,274,1727602.4,17.7,51059.2,161132.0
21,MI,"1,457",1702574.6,3.3,380566.7,1152640.3
22,MN,783,1578455.1,12.5,96826.9,476501.3
23,MO,"1,151",1673690.2,20.4,223861.0,707063.7
24,MS,445,1657191.1,6.8,116049.8,347522.3
25,MT,311,1773707.1,22.5,36846.5,119500.7
26,NC,"1,521",1605966.9,10.8,324179.2,1108267.3
27,ND,154,1546276.0,10.3,12701.1,58663.3
28,NE,275,1553894.6,18.6,27610.6,151920.6
29,NH,265,1757031.7,19.0,56706.0,174661.9
30,NJ,795,1589181.2,10.9,237012.0,896411.7
31,NM,491,1841779.4,10.9,108137.1,294983.1
32,NV,627,1764237.7,15.3,124349.4,393060.2
33,NY,"1,696",1649722.7,11.3,444441.9,1936880.0
34,OH,"1,740",1731831.0,15.0,558669.1,1536390.3
35,OK,756,1764593.9,10.7,185454.3,520166.1
36,OR,825,1705899.1,11.9,129431.8,460078.8
37,PA,"2,030",1694410.8,17.7,546866.2,1620977.1
38,RI,129,1835626.5,14.5,39862.2,136739.9
39,SC,838,1722252.8,9.6,178171.2,584462.0
40,SD,191,1540322.5,8.2,15327.6,69024.6
41,TN,"1,166",1760581.8,11.8,324836.8,907924.7
42,TX,"3,778",1551578.9,23.3,607737.6,2544857.0
43,UT,663,1774482.8,17.7,92582.4,356579.6
44,VA,"1,179",1622684.6,14.6,195684.5,839722.2
45,VT,112,1691432.2,5.6,16377.5,65389.4
46,WA,"1,297",1719890.2,11.9,224512.9,799690.8
47,WI,926,1709160.6,9.0,156097.5,614357.0
48,WV,393,1902669.7,11.9,148374.1,332650.9
49,WY,157,1713907.7,20.7,22443.3,68878.6
