location_name,sex_name,age_name,cause_name,val
Alabama,Female,80 to 84,Bipolar disorder,33.08884319325131
Alabama,Female,15 to 19,Depressive disorders,2442.404162182348
Alabama,Male,20 to 24,Depressive disorders,1469.3070679525085
Alabama,Female,20 to 24,Depressive disorders,2293.2999510149984
Alabama,Male,25 to 29,Depressive disorders,1386.8938857059381
Alabama,Female,25 to 29,Depressive disorders,2244.713550727568
Alabama,Male,30 to 34,Depressive disorders,1233.9551036093346
Alabama,Female,30 to 34,Depressive disorders,2078.1938931653963
Alabama,Male,35 to 39,Depressive disorders,1296.7441445183272
Alabama,Female,35 to 39,Depressive disorders,2296.517283012485
Alabama,Male,40 to 44,Depressive disorders,1246.2904327677918
Alabama,Female,40 to 44,Depressive disorders,2222.995188205109
Alabama,Male,45 to 49,Depressive disorders,1218.8846052121205
Alabama,Female,45 to 49,Depressive disorders,2184.9162471387126
Alabama,Male,50 to 54,Depressive disorders,1111.247688992482
Alabama,Female,50 to 54,Depressive disorders,2017.2491156872168
Alabama,Male,55 to 59,Depressive disorders,986.3347739418616
Alabama,Female,55 to 59,Depressive disorders,1854.332674386185
Alabama,Female,15 to 19,Major depressive disorder,2185.7996286214648
Alabama,Male,15 to 19,Major depressive disorder,990.9512360383846
Alabama,Female,80 to 84,Depressive disorders,258.80624785450186
Alabama,Male,80 to 84,Depressive disorders,145.76960915165517
Alabama,Female,80 plus,Depressive disorders,584.3665234301133
Alabama,Male,80 plus,Depressive disorders,276.8970179555892
Alabama,Male,15 to 19,Depressive disorders,1145.6318220442708
Alabama,Female,75 to 79,Depressive disorders,407.8949510586155
Alabama,Female,70 to 74,Depressive disorders,710.1643639006566
Alabama,Male,70 to 74,Depressive disorders,401.9137890598909
Alabama,Female,65 to 69,Depressive disorders,1120.2213953175806
Alabama,Male,65 to 69,Depressive disorders,607.6446184769587
Alabama,Female,60 to 64,Depressive disorders,1490.7816941569422
Alabama,Male,60 to 64,Depressive disorders,779.6853604871319
Alabama,Male,75 to 79,Depressive disorders,235.0328407733828
Alabama,Female,80 to 84,Other drug use disorders,56.337394612448676
Alabama,Male,80 to 84,Other drug use disorders,29.19561344215054
Alabama,Female,80 plus,Other drug use disorders,111.73779065710659
Alabama,Male,35 to 39,Other drug use disorders,972.7785175965164
Alabama,Female,30 to 34,Other drug use disorders,968.1515521534089
Alabama,Male,30 to 34,Other drug use disorders,1054.7762055014246
Alabama,Female,25 to 29,Other drug use disorders,783.753766616828
Alabama,Male,25 to 29,Other drug use disorders,1045.5965185212526
Alabama,Female,20 to 24,Other drug use disorders,612.6375052457644
Alabama,Female,35 to 39,Other drug use disorders,955.8225343111028
Alabama,Male,20 to 24,Other drug use disorders,855.1662883715562
Alabama,Male,15 to 19,Other drug use disorders,428.1664372656378
Alabama,Female,80 to 84,Cannabis use disorders,1.754190191627169
Alabama,Male,80 to 84,Cannabis use disorders,1.8931707065759376
Alabama,Female,80 plus,Cannabis use disorders,3.1214862402380263
Alabama,Male,80 plus,Cannabis use disorders,3.1015469009897734
Alabama,Female,75 to 79,Cannabis use disorders,2.738406845707369
Alabama,Female,15 to 19,Other drug use disorders,322.7054489773563
Alabama,Male,20 to 24,Major depressive disorder,1235.9928966035022
Alabama,Male,40 to 44,Other drug use disorders,775.2379953736162
Alabama,Male,45 to 49,Other drug use disorders,718.7535099966349
Alabama,Male,80 plus,Other drug use disorders,48.48123066145754
Alabama,Female,75 to 79,Other drug use disorders,72.02950741167858
Alabama,Male,75 to 79,Other drug use disorders,44.87696028765421
Alabama,Female,70 to 74,Other drug use disorders,116.50776577428154
Alabama,Male,70 to 74,Other drug use disorders,85.7191099693997
Alabama,Female,65 to 69,Other drug use disorders,124.2617130901385
Alabama,Female,40 to 44,Other drug use disorders,854.1935804026948
Alabama,Male,65 to 69,Other drug use disorders,95.23527375094515
Alabama,Male,60 to 64,Other drug use disorders,209.33144753718184
Alabama,Female,55 to 59,Other drug use disorders,556.6573869405281
Alabama,Male,55 to 59,Other drug use disorders,431.27035861115957
Alabama,Female,50 to 54,Other drug use disorders,814.9839969502033
Alabama,Male,50 to 54,Other drug use disorders,600.7065863362842
Alabama,Female,45 to 49,Other drug use disorders,903.2204263621668
Alabama,Female,60 to 64,Other drug use disorders,259.0964245370892
Alabama,Male,75 to 79,Cannabis use disorders,3.371920007605228
Alabama,Female,20 to 24,Major depressive disorder,1908.0473770098572
Alabama,Female,25 to 29,Major depressive disorder,1769.625436788117
Alabama,Male,45 to 49,Dysthymia,310.3255201290712
Alabama,Female,45 to 49,Dysthymia,544.1357511072111
Alabama,Male,50 to 54,Dysthymia,306.3032540860636
Alabama,Female,50 to 54,Dysthymia,541.2974043352523
Alabama,Male,55 to 59,Dysthymia,298.90190686190624
Alabama,Female,55 to 59,Dysthymia,537.0507219316349
Alabama,Male,60 to 64,Dysthymia,256.59468695579307
Alabama,Female,60 to 64,Dysthymia,467.9533714010717
Alabama,Male,65 to 69,Dysthymia,211.0206080621384
Alabama,Female,65 to 69,Dysthymia,379.5991706997915
Alabama,Male,70 to 74,Dysthymia,148.31788736116135
Alabama,Female,70 to 74,Dysthymia,263.38816626980207
Alabama,Male,75 to 79,Dysthymia,93.16544268804823
Alabama,Female,75 to 79,Dysthymia,169.36248832951148
Alabama,Male,80 plus,Dysthymia,94.537986695979
Alabama,Female,80 plus,Dysthymia,200.79166247990776
Alabama,Male,80 to 84,Dysthymia,55.76159115390228
Alabama,Male,45 to 49,Bipolar disorder,178.77380723042356
Alabama,Female,40 to 44,Bipolar disorder,251.1270422233691
Alabama,Male,40 to 44,Bipolar disorder,165.920529208395
Alabama,Female,35 to 39,Bipolar disorder,257.25158569607123
Alabama,Male,35 to 39,Bipolar disorder,169.83602405399859
Alabama,Female,30 to 34,Bipolar disorder,240.4160999458308
Alabama,Female,40 to 44,Dysthymia,507.6891169576401
Alabama,Male,30 to 34,Bipolar disorder,167.2940685538718
Alabama,Male,25 to 29,Bipolar disorder,184.73297036804038
Alabama,Female,20 to 24,Bipolar disorder,225.97487947478407
Alabama,Male,20 to 24,Bipolar disorder,228.97288681777388
Alabama,Female,15 to 19,Bipolar disorder,214.1930961645581
Alabama,Male,15 to 19,Bipolar disorder,288.251440006917
Alabama,Female,80 to 84,Dysthymia,106.6451252531085
Alabama,Female,25 to 29,Bipolar disorder,234.33379338238706
Alabama,Male,40 to 44,Dysthymia,289.57342108933625
Alabama,Female,35 to 39,Dysthymia,516.1920151487543
Alabama,Male,35 to 39,Dysthymia,295.49085345777235
Alabama,Female,60 to 64,Major depressive disorder,1022.8283227558703
Alabama,Male,60 to 64,Major depressive disorder,523.0906735313389
Alabama,Female,55 to 59,Major depressive disorder,1317.2819524545505
Alabama,Male,55 to 59,Major depressive disorder,687.4328670799555
Alabama,Female,50 to 54,Major depressive disorder,1475.9517113519644
Alabama,Male,50 to 54,Major depressive disorder,804.9444349064185
Alabama,Male,65 to 69,Major depressive disorder,396.6240104148204
Alabama,Female,45 to 49,Major depressive disorder,1640.7804960315011
Alabama,Female,40 to 44,Major depressive disorder,1715.306071247469
Alabama,Male,40 to 44,Major depressive disorder,956.7170116784556
Alabama,Female,35 to 39,Major depressive disorder,1780.3252678637311
Alabama,Male,35 to 39,Major depressive disorder,1001.2532910605548
Alabama,Female,30 to 34,Major depressive disorder,1595.332038947935
Alabama,Male,30 to 34,Major depressive disorder,947.9275703410452
Alabama,Male,45 to 49,Major depressive disorder,908.5590850830494
Alabama,Male,25 to 29,Major depressive disorder,1104.0172065937522
Alabama,Female,65 to 69,Major depressive disorder,740.622224617789
Alabama,Female,70 to 74,Major depressive disorder,446.7761976308546
Alabama,Female,30 to 34,Dysthymia,482.86185421746114
Alabama,Male,30 to 34,Dysthymia,286.0275332682898
Alabama,Female,25 to 29,Dysthymia,475.0881139394511
Alabama,Male,25 to 29,Dysthymia,282.87667911218614
Alabama,Female,20 to 24,Dysthymia,385.25257400514107
Alabama,Male,20 to 24,Dysthymia,233.3141713490062
Alabama,Male,70 to 74,Major depressive disorder,253.59590169872956
Alabama,Female,15 to 19,Dysthymia,256.6045335608836
Alabama,Female,80 to 84,Major depressive disorder,152.16112260139334
Alabama,Male,80 to 84,Major depressive disorder,90.00801799775293
Alabama,Female,80 plus,Major depressive disorder,383.5748609502056
Alabama,Male,80 plus,Major depressive disorder,182.35903125961013
Alabama,Female,75 to 79,Major depressive disorder,238.53246272910405
Alabama,Male,75 to 79,Major depressive disorder,141.86739808533454
Alabama,Male,15 to 19,Dysthymia,154.6805860058862
Alabama,Female,70 to 74,Cannabis use disorders,4.168533102918828
Alabama,Male,70 to 74,Cannabis use disorders,5.761266180210898
Alabama,Female,65 to 69,Cannabis use disorders,6.020174920947796
Alabama,Female,30 to 34,Opioid use disorders,3959.489774512702
Alabama,Male,35 to 39,Opioid use disorders,6413.095917679735
Alabama,Female,35 to 39,Opioid use disorders,3605.732286788659
Alabama,Male,40 to 44,Opioid use disorders,4793.280402325447
Alabama,Female,40 to 44,Opioid use disorders,3072.816943695261
Alabama,Male,45 to 49,Opioid use disorders,4122.288569936352
Alabama,Female,45 to 49,Opioid use disorders,3105.173706431539
Alabama,Male,50 to 54,Opioid use disorders,3221.8415995376045
Alabama,Female,50 to 54,Opioid use disorders,2531.9269208719265
Alabama,Male,55 to 59,Opioid use disorders,2270.707789723117
Alabama,Female,55 to 59,Opioid use disorders,1821.3393871944918
Alabama,Male,60 to 64,Opioid use disorders,1242.4172066009496
Alabama,Female,60 to 64,Opioid use disorders,995.7593359656938
Alabama,Male,65 to 69,Opioid use disorders,694.5269851755055
Alabama,Female,65 to 69,Opioid use disorders,536.1933080648467
Alabama,Male,70 to 74,Opioid use disorders,339.4569820139784
Alabama,Female,70 to 74,Opioid use disorders,269.2546834660208
Alabama,Female,30 to 34,Cocaine use disorders,330.8628080059354
Alabama,Male,30 to 34,Cocaine use disorders,584.4213256695982
Alabama,Female,25 to 29,Cocaine use disorders,249.84749566082832
Alabama,Male,25 to 29,Cocaine use disorders,462.9669028720066
Alabama,Female,20 to 24,Cocaine use disorders,242.4864393172925
Alabama,Male,20 to 24,Cocaine use disorders,441.8262620112922
Alabama,Male,30 to 34,Opioid use disorders,7339.561521329981
Alabama,Female,15 to 19,Cocaine use disorders,177.97545181372476
Alabama,Female,80 to 84,Opioid use disorders,98.48054344924502
Alabama,Male,80 to 84,Opioid use disorders,102.94617004627656
Alabama,Female,80 plus,Opioid use disorders,195.8120314016173
Alabama,Male,80 plus,Opioid use disorders,171.12754656253776
Alabama,Female,75 to 79,Opioid use disorders,165.37519946108569
Alabama,Male,75 to 79,Opioid use disorders,193.686722322474
Alabama,Male,15 to 19,Cocaine use disorders,307.78079404079534
Alabama,Female,25 to 29,Opioid use disorders,4213.974301404545
Alabama,Male,25 to 29,Opioid use disorders,8453.501969012368
Alabama,Female,20 to 24,Opioid use disorders,3658.954880672775
Alabama,Male,50 to 54,Drug use disorders,4423.123633620974
Alabama,Female,45 to 49,Drug use disorders,4411.232557741621
Alabama,Male,45 to 49,Drug use disorders,5406.4031004179105
Alabama,Female,40 to 44,Drug use disorders,4344.636704633645
Alabama,Male,40 to 44,Drug use disorders,6179.925224969087
Alabama,Female,35 to 39,Drug use disorders,5058.054432939103
Alabama,Female,50 to 54,Drug use disorders,3657.0413820444787
Alabama,Male,35 to 39,Drug use disorders,8157.834937892415
Alabama,Male,30 to 34,Drug use disorders,9269.274030541172
Alabama,Female,25 to 29,Drug use disorders,5562.656975169309
Alabama,Male,25 to 29,Drug use disorders,10325.494339894567
Alabama,Female,20 to 24,Drug use disorders,4883.209432240172
Alabama,Male,20 to 24,Drug use disorders,8722.750041238281
Alabama,Female,15 to 19,Drug use disorders,2919.822435533192
Alabama,Female,30 to 34,Drug use disorders,5475.035073122814
Alabama,Male,35 to 39,Cocaine use disorders,534.5778955109973
Alabama,Male,55 to 59,Drug use disorders,3128.6229885873745
Alabama,Male,60 to 64,Drug use disorders,1673.5291684233853
Alabama,Male,20 to 24,Opioid use disorders,6992.414393025853
Alabama,Female,15 to 19,Opioid use disorders,2105.7338764411406
Alabama,Male,15 to 19,Opioid use disorders,3263.032678371324
Alabama,Female,80 to 84,Drug use disorders,166.07604848942674
Alabama,Male,80 to 84,Drug use disorders,143.93326700497303
Alabama,Female,80 plus,Drug use disorders,330.5680365848823
Alabama,Female,55 to 59,Drug use disorders,2596.793671878633
Alabama,Male,80 plus,Drug use disorders,239.60834249239613
Alabama,Male,75 to 79,Drug use disorders,264.84236900263284
Alabama,Female,70 to 74,Drug use disorders,416.48123033341835
