location_name,sex_name,age_name,cause_name,val
Alabama,Male,75 to 79,Cannabis use disorders,216.72502999999998
Alabama,Male,70 to 74,Attention-deficit/hyperactivity disorder,48.184421
Alabama,Female,65 to 69,Attention-deficit/hyperactivity disorder,72.77024499999999
Alabama,Male,65 to 69,Attention-deficit/hyperactivity disorder,113.279775
Alabama,Female,60 to 64,Attention-deficit/hyperactivity disorder,135.62096
Alabama,Male,60 to 64,Attention-deficit/hyperactivity disorder,230.73342000000002
Alabama,Female,55 to 59,Attention-deficit/hyperactivity disorder,221.21313999999998
Alabama,Male,55 to 59,Attention-deficit/hyperactivity disorder,403.35334
Alabama,Female,50 to 54,Attention-deficit/hyperactivity disorder,314.48422
Alabama,Male,50 to 54,Attention-deficit/hyperactivity disorder,602.21677
Alabama,Female,45 to 49,Attention-deficit/hyperactivity disorder,397.22837000000004
Alabama,Female,70 to 74,Attention-deficit/hyperactivity disorder,34.443625000000004
Alabama,Male,45 to 49,Attention-deficit/hyperactivity disorder,786.59212
Alabama,Male,40 to 44,Attention-deficit/hyperactivity disorder,981.59743
Alabama,Female,35 to 39,Attention-deficit/hyperactivity disorder,563.8692900000001
Alabama,Male,35 to 39,Attention-deficit/hyperactivity disorder,1202.46956
Alabama,Female,30 to 34,Attention-deficit/hyperactivity disorder,663.3205700000002
Alabama,Male,30 to 34,Attention-deficit/hyperactivity disorder,1479.4074
Alabama,Female,25 to 29,Attention-deficit/hyperactivity disorder,789.66285
Alabama,Male,25 to 29,Attention-deficit/hyperactivity disorder,1854.9004
Alabama,Female,20 to 24,Attention-deficit/hyperactivity disorder,983.9998300000001
Alabama,Male,20 to 24,Attention-deficit/hyperactivity disorder,2461.7631
Alabama,Female,15 to 19,Attention-deficit/hyperactivity disorder,1312.85868
Alabama,Female,40 to 44,Attention-deficit/hyperactivity disorder,478.88614
Alabama,Male,15 to 19,Attention-deficit/hyperactivity disorder,3516.9259
Alabama,Male,75 to 79,Attention-deficit/hyperactivity disorder,13.280353699999997
Alabama,Male,80 plus,Attention-deficit/hyperactivity disorder,0.302735249813
Alabama,Male,60 to 64,Conduct disorder,0.0
Alabama,Female,55 to 59,Conduct disorder,0.0
Alabama,Male,55 to 59,Conduct disorder,0.0
Alabama,Female,50 to 54,Conduct disorder,0.0
Alabama,Male,50 to 54,Conduct disorder,0.0
Alabama,Female,45 to 49,Conduct disorder,0.0
Alabama,Male,45 to 49,Conduct disorder,0.0
Alabama,Female,40 to 44,Conduct disorder,0.0
Alabama,Male,40 to 44,Conduct disorder,0.0
Alabama,Female,35 to 39,Conduct disorder,0.0
Alabama,Female,75 to 79,Attention-deficit/hyperactivity disorder,12.6881478
Alabama,Male,35 to 39,Conduct disorder,0.0
Alabama,Male,30 to 34,Conduct disorder,0.0
Alabama,Female,25 to 29,Conduct disorder,0.0
