location_name,sex_name,age_name,cause_name,val
Alabama,Male,30 to 34,Eating disorders,314.15604666900003
Alabama,Female,70 to 74,Anxiety disorders,330.402128337
Alabama,Male,75 to 79,Anxiety disorders,332.234053135
Alabama,Female,75 to 79,Anxiety disorders,274.16816297599996
Alabama,Male,80 plus,Anxiety disorders,221.386347791
Alabama,Female,80 plus,Anxiety disorders,170.33021511799998
Alabama,Male,80 to 84,Anxiety disorders,265.211925135
Alabama,Female,80 to 84,Anxiety disorders,215.639526663
Alabama,Male,15 to 19,Eating disorders,825.491758102
Alabama,Male,70 to 74,Anxiety disorders,391.08059022599997
Alabama,Female,15 to 19,Eating disorders,834.69739619
Alabama,Female,20 to 24,Eating disorders,583.147188022
Alabama,Male,25 to 29,Eating disorders,508.67207155599993
Alabama,Female,25 to 29,Eating disorders,340.39726868
Alabama,Female,30 to 34,Eating disorders,167.96824705400005
Alabama,Male,35 to 39,Eating disorders,107.591139155
Alabama,Female,35 to 39,Eating disorders,65.842741112
Alabama,Male,40 to 44,Eating disorders,3.10863858008
Alabama,Female,40 to 44,Eating disorders,11.0025438492
Alabama,Male,20 to 24,Eating disorders,690.257238434
Alabama,Male,45 to 49,Eating disorders,1.03632756715
Alabama,Female,65 to 69,Anxiety disorders,385.447973078
Alabama,Female,60 to 64,Anxiety disorders,438.75699731099996
Alabama,Female,15 to 19,Anxiety disorders,1206.41792565
Alabama,Male,20 to 24,Anxiety disorders,920.091496217
Alabama,Female,20 to 24,Anxiety disorders,1094.68463011
Alabama,Male,25 to 29,Anxiety disorders,974.059286717
Alabama,Female,25 to 29,Anxiety disorders,1054.9934065999996
Alabama,Male,30 to 34,Anxiety disorders,1027.33812397
Alabama,Female,30 to 34,Anxiety disorders,1019.95778716
Alabama,Male,35 to 39,Anxiety disorders,1079.79776378
Alabama,Male,65 to 69,Anxiety disorders,449.328822589
Alabama,Female,35 to 39,Anxiety disorders,987.217824303
Alabama,Female,40 to 44,Anxiety disorders,905.743956509
Alabama,Male,45 to 49,Anxiety disorders,889.3676651860001
Alabama,Female,45 to 49,Anxiety disorders,778.4849570169998
Alabama,Male,50 to 54,Anxiety disorders,748.096426179
Alabama,Female,50 to 54,Anxiety disorders,653.557775388
Alabama,Male,55 to 59,Anxiety disorders,606.120429991
Alabama,Female,55 to 59,Anxiety disorders,528.095059766
Alabama,Male,60 to 64,Anxiety disorders,506.526236721
Alabama,Male,40 to 44,Anxiety disorders,1032.37445673
Alabama,Female,45 to 49,Eating disorders,3.66932644576
Alabama,Male,50 to 54,Eating disorders,0.0
Alabama,Female,50 to 54,Eating disorders,0.0
Alabama,Female,35 to 39,Anorexia nervosa,18.3272051228
Alabama,Male,40 to 44,Anorexia nervosa,3.10863858008
Alabama,Female,40 to 44,Anorexia nervosa,11.0025438492
Alabama,Male,45 to 49,Anorexia nervosa,1.03632756715
Alabama,Female,45 to 49,Anorexia nervosa,3.66932644576
Alabama,Male,50 to 54,Anorexia nervosa,0.0
Alabama,Female,50 to 54,Anorexia nervosa,0.0
Alabama,Male,55 to 59,Anorexia nervosa,0.0
Alabama,Male,35 to 39,Anorexia nervosa,5.18042030912
Alabama,Female,55 to 59,Anorexia nervosa,0.0
Alabama,Female,60 to 64,Anorexia nervosa,0.0
Alabama,Male,65 to 69,Anorexia nervosa,0.0
Alabama,Female,65 to 69,Anorexia nervosa,0.0
Alabama,Male,70 to 74,Anorexia nervosa,0.0
Alabama,Female,70 to 74,Anorexia nervosa,0.0
Alabama,Male,75 to 79,Anorexia nervosa,0.0
Alabama,Female,75 to 79,Anorexia nervosa,0.0
Alabama,Male,80 plus,Anorexia nervosa,0.0
Alabama,Male,60 to 64,Anorexia nervosa,0.0
Alabama,Female,30 to 34,Anorexia nervosa,25.637116932900003
Alabama,Male,30 to 34,Anorexia nervosa,7.251362910389999
Alabama,Female,25 to 29,Anorexia nervosa,49.09537234810001
Alabama,Male,55 to 59,Eating disorders,0.0
Alabama,Female,55 to 59,Eating disorders,0.0
Alabama,Male,60 to 64,Eating disorders,0.0
Alabama,Female,60 to 64,Eating disorders,0.0
Alabama,Male,65 to 69,Eating disorders,0.0
Alabama,Female,65 to 69,Eating disorders,0.0
Alabama,Male,70 to 74,Eating disorders,0.0
Alabama,Female,70 to 74,Eating disorders,0.0
Alabama,Male,75 to 79,Eating disorders,0.0
Alabama,Female,75 to 79,Eating disorders,0.0
Alabama,Male,80 plus,Eating disorders,0.0
Alabama,Female,80 plus,Eating disorders,0.0
Alabama,Male,80 to 84,Eating disorders,0.0
Alabama,Female,80 to 84,Eating disorders,0.0
Alabama,Male,15 to 19,Anorexia nervosa,34.9592024145
Alabama,Female,15 to 19,Anorexia nervosa,128.394785646
Alabama,Male,20 to 24,Anorexia nervosa,24.287433996399997
Alabama,Female,20 to 24,Anorexia nervosa,88.6822810791
Alabama,Male,25 to 29,Anorexia nervosa,13.620922789200002
Alabama,Male,15 to 19,Anxiety disorders,914.572832887
Alabama,Female,80 to 84,Bipolar disorder,28.954441682
Alabama,Male,80 to 84,Bipolar disorder,18.8924559613
Alabama,Female,80 plus,Bipolar disorder,24.210515950700003
Alabama,Female,70 to 74,Major depressive disorder,3079.96133176
Alabama,Male,75 to 79,Major depressive disorder,1852.23638711
Alabama,Female,75 to 79,Major depressive disorder,2314.3372762
Alabama,Male,80 plus,Major depressive disorder,2407.97583444
Alabama,Female,80 plus,Major depressive disorder,2964.98483034
Alabama,Male,80 to 84,Major depressive disorder,2044.12559612
Alabama,Female,80 to 84,Major depressive disorder,2350.1845004
Alabama,Male,15 to 19,Dysthymia,240.75459982900003
Alabama,Male,70 to 74,Major depressive disorder,2101.85110605
Alabama,Female,15 to 19,Dysthymia,414.948202192
Alabama,Female,20 to 24,Dysthymia,435.50325650700006
Alabama,Male,25 to 29,Dysthymia,270.16931697900003
Alabama,Female,25 to 29,Dysthymia,433.28575714199997
Alabama,Male,30 to 34,Dysthymia,273.715619148
Alabama,Female,30 to 34,Dysthymia,431.82886752
Alabama,Male,35 to 39,Dysthymia,277.377026812
Alabama,Female,35 to 39,Dysthymia,430.616353637
Alabama,Female,40 to 44,Dysthymia,428.637164695
Alabama,Male,20 to 24,Dysthymia,266.932815854
Alabama,Female,65 to 69,Major depressive disorder,3836.62416442
Alabama,Male,65 to 69,Major depressive disorder,2350.3145735999997
Alabama,Female,60 to 64,Major depressive disorder,4584.22010052
Alabama,Male,15 to 19,Major depressive disorder,4346.465338149998
Alabama,Female,15 to 19,Major depressive disorder,9163.51787037
Alabama,Male,20 to 24,Major depressive disorder,5060.001693570001
Alabama,Female,20 to 24,Major depressive disorder,7966.054854519999
Alabama,Male,25 to 29,Major depressive disorder,4427.39107106
Alabama,Female,25 to 29,Major depressive disorder,7201.978389950002
Alabama,Male,30 to 34,Major depressive disorder,4324.75310353
Alabama,Female,30 to 34,Major depressive disorder,7283.97239159
Alabama,Male,35 to 39,Major depressive disorder,4746.989175469998
Alabama,Female,35 to 39,Major depressive disorder,8196.024453080001
Alabama,Male,40 to 44,Major depressive disorder,4676.23032463
Alabama,Female,40 to 44,Major depressive disorder,8179.95291606
Alabama,Male,45 to 49,Major depressive disorder,4122.702956499998
Alabama,Female,45 to 49,Major depressive disorder,7273.3611323
Alabama,Male,50 to 54,Major depressive disorder,3565.26140592
Alabama,Female,50 to 54,Major depressive disorder,6356.00504801
Alabama,Male,55 to 59,Major depressive disorder,3002.98316175
Alabama,Female,55 to 59,Major depressive disorder,5424.89172139
Alabama,Male,60 to 64,Major depressive disorder,2597.49079138
Alabama,Male,45 to 49,Dysthymia,279.74188936300004
Alabama,Female,80 plus,Anorexia nervosa,0.0
Alabama,Female,45 to 49,Dysthymia,426.49097201
Alabama,Female,50 to 54,Dysthymia,424.86455921199996
Alabama,Female,35 to 39,Bipolar disorder,55.7809706917
Alabama,Male,40 to 44,Bipolar disorder,47.86123204729999
Alabama,Female,40 to 44,Bipolar disorder,61.378370270299996
Alabama,Male,45 to 49,Bipolar disorder,59.480870571199986
Alabama,Female,45 to 49,Bipolar disorder,70.94867995119998
Alabama,Male,50 to 54,Bipolar disorder,59.509783376499996
Alabama,Female,50 to 54,Bipolar disorder,69.4814797641
Alabama,Male,55 to 59,Bipolar disorder,47.951606920699994
Alabama,Male,35 to 39,Bipolar disorder,40.5324990051
Alabama,Female,55 to 59,Bipolar disorder,56.9732818008
Alabama,Female,60 to 64,Bipolar disorder,48.397997465799996
Alabama,Male,65 to 69,Bipolar disorder,34.3478246036
Alabama,Female,65 to 69,Bipolar disorder,43.7617500204
Alabama,Male,70 to 74,Bipolar disorder,29.1311368533
Alabama,Female,70 to 74,Bipolar disorder,39.1205161509
Alabama,Male,75 to 79,Bipolar disorder,23.9081360713
Alabama,Female,75 to 79,Bipolar disorder,34.468663993
Alabama,Male,80 plus,Bipolar disorder,16.093708573100002
Alabama,Male,60 to 64,Bipolar disorder,39.5629754762
Alabama,Female,30 to 34,Bipolar disorder,54.142153469600004
Alabama,Male,30 to 34,Bipolar disorder,37.4851578531
Alabama,Female,25 to 29,Bipolar disorder,48.9741705804
Alabama,Male,55 to 59,Dysthymia,280.890366839
Alabama,Female,55 to 59,Dysthymia,423.39321125199996
Alabama,Male,60 to 64,Dysthymia,273.911739447
Alabama,Female,60 to 64,Dysthymia,404.03112750400004
Alabama,Male,65 to 69,Dysthymia,259.34127683
Alabama,Female,65 to 69,Dysthymia,366.791391375
Alabama,Male,70 to 74,Dysthymia,244.72403532
Alabama,Female,70 to 74,Dysthymia,329.45349271599997
Alabama,Male,75 to 79,Dysthymia,230.057684552
Alabama,Female,75 to 79,Dysthymia,291.92803654200003
Alabama,Male,80 plus,Dysthymia,216.115881722
Alabama,Female,80 plus,Dysthymia,254.707678158
Alabama,Male,80 to 84,Dysthymia,219.653706845
Alabama,Female,80 to 84,Dysthymia,265.73651787200004
Alabama,Male,15 to 19,Bipolar disorder,138.09234282
Alabama,Female,15 to 19,Bipolar disorder,109.391336706
Alabama,Male,20 to 24,Bipolar disorder,27.2285062975
Alabama,Female,20 to 24,Bipolar disorder,40.2308533109
