State,Population
 California,39536653.0
 Texas,28304596.0
 Florida,20984400.0
 New York,19849399.0
 Pennsylvania,12805537.0
 Illinois,12802023.0
 Ohio,11658609.0
 Georgia,10429379.0
 North Carolina,10273419.0
 Michigan,9962311.0
 New Jersey,9005644.0
 Virginia,8470020.0
 Washington,7405743.0
 Arizona,7016270.0
 Massachusetts,6859819.0
 Tennessee,6715984.0
 Indiana,6666818.0
 Missouri,6113532.0
 Maryland,6052177.0
 Wisconsin,5795483.0
 Colorado,5607154.0
 Minnesota,5576606.0
 South Carolina,5024369.0
 Alabama,4874747.0
 Louisiana,4684333.0
 Kentucky,4454189.0
 Oregon,4142776.0
 Oklahoma,3930864.0
 Connecticut,3588184.0
 Iowa,3145711.0
 Utah,3101833.0
 Arkansas,3004279.0
 Nevada,2998039.0
 Mississippi,2984100.0
 Kansas,2913123.0
 New Mexico,2088070.0
 Nebraska,1920076.0
 West Virginia,1815857.0
 Idaho,1716943.0
 Hawaii,1427538.0
 New Hampshire,1342795.0
 Maine,1335907.0
 Rhode Island,1059639.0
 Montana,1050493.0
 Delaware,961939.0
 South Dakota,869666.0
 North Dakota,755393.0
 Alaska,739795.0
 District of Columbia,693972.0
 Vermont,623657.0
 Wyoming,579315.0
