location_name,sex_name,age_name,cause_name,val
Alabama,Female,60 to 64,Alcohol use disorders,134.3318866119948
Alabama,Male,35 to 39,Substance use disorders,6156.921304700815
Alabama,Female,35 to 39,Substance use disorders,3620.912935999255
Alabama,Male,40 to 44,Substance use disorders,4913.513333317378
Alabama,Female,40 to 44,Substance use disorders,3349.800930253672
Alabama,Male,45 to 49,Substance use disorders,4518.062818022206
Alabama,Female,45 to 49,Substance use disorders,3645.3519562096253
Alabama,Male,50 to 54,Substance use disorders,3854.5803519058777
Alabama,Female,50 to 54,Substance use disorders,2986.10759158445
Alabama,Male,55 to 59,Substance use disorders,2773.3468040304765
Alabama,Female,55 to 59,Substance use disorders,2040.7197478216326
Alabama,Male,60 to 64,Substance use disorders,1447.9491239089286
Alabama,Female,60 to 64,Substance use disorders,1005.7495888916534
Alabama,Male,65 to 69,Substance use disorders,682.2305356522222
Alabama,Female,65 to 69,Substance use disorders,465.2549932667082
Alabama,Male,70 to 74,Substance use disorders,324.05977567098057
Alabama,Female,70 to 74,Substance use disorders,251.32611839246863
Alabama,Male,75 to 79,Substance use disorders,167.39779279404826
Alabama,Female,30 to 34,Substance use disorders,3563.698951857555
Alabama,Female,75 to 79,Substance use disorders,151.20865151174928
Alabama,Female,25 to 29,Substance use disorders,2840.8313500308445
Alabama,Female,20 to 24,Substance use disorders,1738.8232259555466
Alabama,Male,55 to 59,Amphetamine use disorders,67.67815647589582
Alabama,Female,50 to 54,Amphetamine use disorders,58.698846101874295
Alabama,Male,50 to 54,Amphetamine use disorders,102.98864943110672
Alabama,Female,45 to 49,Amphetamine use disorders,70.43037694628404
Alabama,Male,45 to 49,Amphetamine use disorders,96.6918312972171
Alabama,Female,40 to 44,Amphetamine use disorders,66.27086029055515
Alabama,Male,40 to 44,Amphetamine use disorders,101.29487334562431
Alabama,Female,35 to 39,Amphetamine use disorders,74.30927667122656
Alabama,Male,35 to 39,Amphetamine use disorders,126.5998442798525
Alabama,Female,30 to 34,Amphetamine use disorders,69.42554953061757
Alabama,Male,30 to 34,Amphetamine use disorders,128.48013193436373
Alabama,Female,25 to 29,Amphetamine use disorders,73.26211629435149
Alabama,Male,25 to 29,Amphetamine use disorders,78.76321338474744
