location_name,sex_name,age_name,cause_name,val
Alabama,Male,80 to 84,Cannabis use disorders,74.1069323292
Alabama,Male,65 to 69,Attention-deficit/hyperactivity disorder,143.796431979
Alabama,Female,60 to 64,Attention-deficit/hyperactivity disorder,222.877948314
Alabama,Male,60 to 64,Attention-deficit/hyperactivity disorder,342.537017263
Alabama,Female,55 to 59,Attention-deficit/hyperactivity disorder,389.34056128
Alabama,Male,55 to 59,Attention-deficit/hyperactivity disorder,658.830804456
Alabama,Female,50 to 54,Attention-deficit/hyperactivity disorder,526.898910807
Alabama,Male,50 to 54,Attention-deficit/hyperactivity disorder,965.1772059689999
Alabama,Female,45 to 49,Attention-deficit/hyperactivity disorder,643.73559992
Alabama,Male,45 to 49,Attention-deficit/hyperactivity disorder,1224.75998374
Alabama,Female,40 to 44,Attention-deficit/hyperactivity disorder,720.7374643910001
Alabama,Female,65 to 69,Attention-deficit/hyperactivity disorder,104.759634505
Alabama,Male,40 to 44,Attention-deficit/hyperactivity disorder,1418.9127468
Alabama,Male,35 to 39,Attention-deficit/hyperactivity disorder,1835.92752443
Alabama,Female,30 to 34,Attention-deficit/hyperactivity disorder,1053.95589102
Alabama,Male,30 to 34,Attention-deficit/hyperactivity disorder,2305.65415959
Alabama,Female,25 to 29,Attention-deficit/hyperactivity disorder,1354.56312584
Alabama,Male,25 to 29,Attention-deficit/hyperactivity disorder,3162.93903268
Alabama,Female,20 to 24,Attention-deficit/hyperactivity disorder,1632.03968073
Alabama,Male,20 to 24,Attention-deficit/hyperactivity disorder,4134.59032813
Alabama,Female,15 to 19,Attention-deficit/hyperactivity disorder,2167.54012555
Alabama,Male,15 to 19,Attention-deficit/hyperactivity disorder,6001.41465757
Alabama,Female,80 to 84,Autism spectrum disorders,63.3857764985
Alabama,Female,35 to 39,Attention-deficit/hyperactivity disorder,899.693588585
Alabama,Male,80 to 84,Autism spectrum disorders,203.59039689099998
Alabama,Male,70 to 74,Attention-deficit/hyperactivity disorder,44.682538294
Alabama,Male,75 to 79,Attention-deficit/hyperactivity disorder,8.016665380680001
Alabama,Male,55 to 59,Conduct disorder,0.0
Alabama,Female,50 to 54,Conduct disorder,0.0
Alabama,Male,50 to 54,Conduct disorder,0.0
Alabama,Female,45 to 49,Conduct disorder,0.0
Alabama,Male,45 to 49,Conduct disorder,0.0
Alabama,Female,40 to 44,Conduct disorder,0.0
Alabama,Male,40 to 44,Conduct disorder,0.0
Alabama,Female,35 to 39,Conduct disorder,0.0
Alabama,Male,35 to 39,Conduct disorder,0.0
Alabama,Female,30 to 34,Conduct disorder,0.0
Alabama,Female,70 to 74,Attention-deficit/hyperactivity disorder,37.8928159827
Alabama,Male,30 to 34,Conduct disorder,0.0
Alabama,Male,25 to 29,Conduct disorder,0.0
