,State,Incidence (Rate),Abbreviation
30,New Jersey,488409.2,NJ
13,Illinois,512863.9,IL
41,South Dakota,522359.5,SD
6,Connecticut,522888.9,CT
34,North Dakota,531634,ND
4,California,536310,CA
43,Texas,536605.7,TX
27,Nebraska,544687.9,NE
21,Massachusetts,548824.1,MA
33,North Carolina,554688.6,NC
18,Louisiana,558927.7,LA
10,Georgia,559305.8,GA
15,Iowa,560572.3,IA
23,Minnesota,560933.1,MN
38,Pennsylvania,561725.6,PA
20,Maryland,567943.1,MD
46,Virginia,570410.9,VA
9,Florida,571913.6,FL
0,Alabama,574877.5,AL
11,Hawaii,575189.6,HI
32,New York,575831.6,NY
24,Mississippi,576263.6,MS
7,Delaware,584715.5,DC
22,Michigan,585000.1,MI
16,Kansas,586257.1,KS
35,Ohio,586964.4,OH
49,Wisconsin,587418.5,WI
40,South Carolina,597041.6,SC
45,Vermont,601512.4,VT
19,Maine,604229.9,ME
29,New Hampshire,607199.1,NH
25,Missouri,609357.3,MO
47,Washington,613215.7,WA
14,Indiana,620159.9,IN
39,Rhode Island,620755.8,RI
17,Kentucky,620857.7,KY
37,Oregon,621533.1,OR
42,Tennessee,622951.4,TN
1,Alaska,627095.7,AK
5,Colorado,633348.7,CO
28,Nevada,641005.7,NV
2,Arizona,644322.7,AZ
12,Idaho,644902.2,ID
36,Oklahoma,646922.2,OK
3,Arkansas,648514.7,AR
50,Wyoming,652507,WY
26,Montana,659323.8,MT
48,West Virginia,659853.5,WV
31,New Mexico,670918.6,NM
44,Utah,701362.3,UT
